caseid,score,cohort90,female,sclass
339,49,-6,0,2
340,18,-6,0,3
345,46,-6,0,4
346,43,-6,0,3
352,17,-6,0,3
353,29,-6,0,2
354,15,-6,0,3
361,19,-6,0,2
362,45,-6,0,3
363,12,-6,0,1
6824,0,-4,0,1
6826,0,-4,0,3
6827,20,-4,0,2
6828,32,-4,0,1
6829,0,-4,0,2
6834,24,-4,0,3
6836,23,-4,0,2
13206,7,-2,0,3
13209,38,-2,0,3
13215,46,-2,0,1
13217,28,-2,0,3
13218,32,-2,0,3
18681,36,0,0,1
18682,21,0,0,3
18685,26,0,0,1
18686,34,0,0,1
26586,25,6,0,4
26591,38,6,0,1
26594,27,6,0,3
26595,28,6,0,2
31001,40,8,0,1
31005,36,8,0,3
31009,39,8,0,2
31011,44,8,0,3
826,41,-6,0,1
828,56,-6,0,1
829,12,-6,0,2
830,0,-6,0,2
832,41,-6,0,1
840,45,-6,0,3
841,56,-6,0,1
842,42,-6,0,3
7317,10,-4,0,2
7320,48,-4,0,1
7324,56,-4,0,1
7326,0,-4,0,3
7328,56,-4,0,1
7330,18,-4,0,3
7331,41,-4,0,2
13634,15,-2,0,3
13636,36,-2,0,3
13637,40,-2,0,2
13639,42,-2,0,1
13643,43,-2,0,2
13644,19,-2,0,1
13647,23,-2,0,1
13648,25,-2,0,1
13653,16,-2,0,1
18973,23,0,0,2
18974,45,0,0,1
18975,36,0,0,1
18977,38,0,0,2
18980,39,0,0,2
18983,21,0,0,4
18984,46,0,0,4
18987,45,0,0,1
18988,0,0,0,2
18989,20,0,0,3
26894,55,6,0,1
26895,51,6,0,3
26898,39,6,0,1
26900,24,6,0,1
26901,35,6,0,1
26902,13,6,0,3
26903,41,6,0,3
26907,47,6,0,1
26908,29,6,0,4
26909,20,6,0,3
31620,41,8,0,2
31623,33,8,0,2
31624,31,8,0,2
31625,25,8,0,2
31633,38,8,0,1
31634,19,8,0,2
31637,34,8,0,2
846,51,-6,0,3
848,55,-6,0,1
851,0,-6,0,3
854,46,-6,0,1
856,11,-6,0,1
859,46,-6,0,1
860,41,-6,0,2
861,46,-6,0,1
862,17,-6,0,1
7333,46,-4,0,1
7334,13,-4,0,4
7336,56,-4,0,1
7342,39,-4,0,2
7343,45,-4,0,2
7344,15,-4,0,2
7345,11,-4,0,1
7346,61,-4,0,1
7347,31,-4,0,1
7350,62,-4,0,2
13657,0,-2,0,3
13659,32,-2,0,2
13660,32,-2,0,1
13661,35,-2,0,1
13663,49,-2,0,1
13665,28,-2,0,1
13667,46,-2,0,4
18993,38,0,0,1
18994,56,0,0,1
18996,21,0,0,2
18997,48,0,0,1
19000,45,0,0,1
19001,58,0,0,1
19003,48,0,0,1
19005,12,0,0,4
26916,55,6,0,1
26918,59,6,0,1
26920,61,6,0,1
31643,58,8,0,1
31644,60,8,0,1
31645,41,8,0,1
31646,60,8,0,1
31649,45,8,0,1
31650,60,8,0,2
31653,60,8,0,1
31655,32,8,0,3
31658,49,8,0,1
31660,31,8,0,4
31661,38,8,0,1
31664,57,8,0,4
31666,38,8,0,2
31667,39,8,0,1
31668,52,8,0,1
31669,48,8,0,2
31670,56,8,0,2
31671,23,8,0,1
31672,60,8,0,1
31675,68,8,0,1
957,14,-6,0,1
958,0,-6,0,1
959,21,-6,0,3
962,25,-6,0,2
7465,0,-4,0,3
7467,40,-4,0,1
7471,0,-4,0,3
7473,21,-4,0,4
7476,13,-4,0,3
13759,18,-2,0,1
13761,23,-2,0,3
13762,34,-2,0,1
